Date/Time,环境:场地室外空气干球温度 [C](小时),热区: 空间102:区平均气温[C](小时),热区: 空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能 [KW.h](小时),热区: 空间102 VRF风机:风机电能 [KW.h](小时),VRF热泵:VRF热泵冷却电能[KW.h](小时),VRF热泵:VRF热泵加热电能[KW.h](小时)
 01/03  23:00:00,6.2625,14.33587418,38.88298737,411.6364201,-1.855748442,69.86044538,0.383618639,0,0,0
 01/03  24:00:00,5.6875,12.56505865,44.4689178,411.0977018,-1.991364824,76.24099866,0,0,0,0
 01/04  01:00:00,5.25,12.02591106,47.34432309,410.9209058,-1.131106751,31.95263331,0,0,0,0
 01/04  02:00:00,4.9125,11.89046209,49.03894771,410.8626284,-1.146463749,32.6741127,0,0,0,0
 01/04  03:00:00,4.55,11.76291985,50.85932992,410.8417023,-1.158818724,33.26027875,0,0,0,0
 01/04  04:00:00,4.15,11.62444938,52.70455568,410.834193,-1.172749085,33.92684803,0,0,0,0
 01/04  05:00:00,3.6875,11.4743053,54.22076491,410.8315007,-1.18825168,34.67567087,0,0,0,0
 01/04  06:00:00,3.25,11.32462766,55.20424288,410.8305365,-1.206505137,35.56634079,0,0,0,0
 01/04  07:00:00,2.9125,11.19716093,55.54077394,410.8301916,-1.224765135,36.46674464,0,0,0,0
 01/04  08:00:00,2.7375,12.50772267,50.48723242,410.8300632,-1.135914131,32.24517453,0.383618639,0,0,0
 01/04  09:00:00,3.075,12.92292869,48.595915,410.8300157,-1.055231547,28.50277047,0.383618639,0,0,0
 01/04  10:00:00,4.1125,14.95822093,45.06590552,613.6055895,-0.894366786,22.08939264,0.383618639,0,0,0
 01/04  11:00:00,5.5375,15.62105694,45.50558069,725.5709321,-0.742652634,16.61348151,0.383618639,0,0,0
 01/04  12:00:00,7.225,16.14930915,44.33309865,734.5322567,-0.692179454,15.08201336,0.383618639,0,0,0
 01/04  13:00:00,9.025,16.36368822,42.6860139,683.3772072,-0.649441444,13.85857442,0.383618639,0,0,0
 01/04  14:00:00,10.6375,17.03829807,40.01698489,671.3342287,-0.584977703,12.1840761,0.383618639,0,0,0
 01/04  15:00:00,12.0125,17.54467942,38.39430733,681.5274298,-0.519435024,10.64691396,0.383618639,0,0,0
 01/04  16:00:00,12.875,18.12412769,38.55159157,742.865989,-0.462663708,9.478708404,0.383618639,0,0,0
 01/04  17:00:00,12.7875,17.9580171,40.76112746,741.3901882,-0.444248605,9.11909442,0.383618639,0,0,0
 01/04  18:00:00,11.85,17.26640604,42.94311778,643.6608194,-0.490430359,10.04211721,0.383618639,0,0,0
 01/04  19:00:00,10.275,16.40201381,44.89256974,530.2479318,-0.578191697,12.02700985,0.383618639,0,0,0
 01/04  20:00:00,8.475,15.5385653,46.5333219,451.8620463,-1.636176538,58.30821339,0.383618639,0,0,0
 01/04  21:00:00,6.675,14.87939339,47.47967162,421.8803671,-1.71237419,62.41020103,0.383618639,0,0,0
 01/04  22:00:00,5.125,14.31436455,47.73155527,413.7956817,-1.779351572,65.94538159,0.383618639,0,0,0
 01/04  23:00:00,3.975,13.90301652,47.29678014,411.6237802,-1.833120736,68.71577333,0.383618639,0,0,0
 01/04  24:00:00,3.1625,12.21803565,51.14783649,411.0916778,-1.97715891,75.60118059,0,0,0,0
 01/05  01:00:00,2.525,11.67187986,51.31770292,410.9180212,-1.125257045,31.68110105,0,0,0,0
 01/05  02:00:00,1.9875,11.46875812,50.4903855,410.8612954,-1.159035836,33.2714783,0,0,0,0
 01/05  03:00:00,1.4875,11.28909662,49.61876456,410.8411133,-1.187806891,34.65465962,0,0,0,0
 01/05  04:00:00,0.925,11.09696227,48.65039236,410.8339412,-1.217751865,36.12060782,0,0,0,0
 01/05  05:00:00,0.325,10.89046608,47.72929827,410.8313956,-1.250366917,37.74527157,0,0,0,0
 01/05  06:00:00,-0.2125,10.69647219,46.5955893,410.8304935,-1.28247984,39.37155721,0,0,0,0
 01/05  07:00:00,-0.65,10.52537988,45.11636554,410.8301743,-1.313203822,40.95028172,0,0,0,0
 01/05  08:00:00,-0.8625,11.70351195,39.97092259,410.8300556,-1.239983887,37.268743,0.383618639,0,0,0
 01/05  09:00:00,0.35,12.22380483,38.4443345,410.830014,-1.16306227,33.46626301,0.383618639,0,0,0
 01/05  10:00:00,2.85,14.56440509,37.40886038,610.9624502,-0.961901752,24.78230719,0.383618639,0,0,0
 01/05  11:00:00,5.4,15.66905746,39.93840082,725.4021643,-0.754659872,17.00427532,0.383618639,0,0,0
 01/05  12:00:00,7.675,16.41606383,40.50430089,734.535352,-0.665462768,14.31659761,0.383618639,0,0,0
 01/05  13:00:00,9.5625,16.61280521,39.98222217,683.4816287,-0.62210922,13.12130264,0.383618639,0,0,0
 01/05  14:00:00,11.075,17.17064911,37.78972738,671.4583063,-0.576515516,11.97138852,0.383618639,0,0,0
 01/05  15:00:00,12.1625,17.57705404,36.38868229,681.6138075,-0.523569475,10.73839591,0.383618639,0,0,0
 01/05  16:00:00,12.75,18.28770304,36.2594883,742.7063935,-0.435197106,8.972031994,0.383618639,0,0,0
 01/05  17:00:00,12.5875,18.06899839,38.85077937,741.0472487,-0.421928415,8.716338064,0.383618639,0,0,0
 01/05  18:00:00,11.65,17.30277856,41.68017505,643.3825754,-0.483745779,9.906871862,0.383618639,0,0,0
 01/05  19:00:00,10.2,16.45790147,44.28095563,530.089463,-0.566642558,11.74337229,0.383618639,0,0,0
 01/05  20:00:00,8.475,15.62158987,46.7128104,451.7949915,-1.616941155,57.26486468,0.383618639,0,0,0
 01/05  21:00:00,6.7375,14.98570831,48.16805763,421.854938,-1.689558677,61.1898488,0.383618639,0,0,0
 01/05  22:00:00,5.2875,14.46303563,48.65277996,413.7871823,-1.750904202,64.45464755,0.383618639,0,0,0
 01/05  23:00:00,4.175,14.06272904,48.40273059,411.6211603,-1.802448514,67.14474195,0.383618639,0,0,0
 01/05  24:00:00,3.3,12.35827531,52.26882621,411.0907594,-1.948043175,74.2462627,0,0,0,0
 01/06  01:00:00,2.6875,11.81312794,51.96205165,410.9177079,-1.098872852,30.46413213,0,0,0,0
 01/06  02:00:00,2.1875,11.62360717,50.70387212,410.8611878,-1.131497358,31.97166877,0,0,0,0
 01/06  03:00:00,1.6875,11.43940978,49.64342508,410.8410769,-1.16224896,33.42473562,0,0,0,0
 01/06  04:00:00,1.1875,11.25775879,48.82978698,410.8339295,-1.191715378,34.84452466,0,0,0,0
 01/06  05:00:00,0.625,11.0632837,48.19699032,410.8313922,-1.221453288,36.30348067,0,0,0,0
 01/06  06:00:00,0.15,10.88219702,47.6674553,410.8304926,-1.251275755,37.79058233,0,0,0,0
 01/06  07:00:00,-0.25,10.7243188,47.14531583,410.8301741,-1.277060009,39.09499356,0,0,0,0
 01/06  08:00:00,-0.4625,11.91364611,42.66483915,410.8300556,-1.200207368,35.30854831,0.383618639,0,0,0
 01/06  09:00:00,-0.1875,12.21399692,41.37529462,410.830014,-1.136146303,32.1884012,0.383618639,0,0,0
 01/06  10:00:00,0.8125,14.09836035,39.48757182,618.2426225,-0.985333722,25.67731333,0.383618639,0,0,0
 01/06  11:00:00,2.55,14.72742845,41.13273713,724.1160599,-0.845628134,20.0913588,0.383618639,0,0,0
 01/06  12:00:00,4.675,15.47587947,41.47425591,732.9076491,-0.76868368,17.46546756,0.383618639,0,0,0
 01/06  13:00:00,6.9375,15.80703243,42.27901853,681.9419015,-0.708599738,15.56429863,0.383618639,0,0,0
 01/06  14:00:00,9.05,16.59875271,42.2737372,670.2595544,-0.630401803,13.3605248,0.383618639,0,0,0
 01/06  15:00:00,10.8,17.26209307,42.71266518,680.6263327,-0.532694409,10.94996401,0.383618639,0,0,0
 01/06  16:00:00,11.8375,18.0133087,43.42024142,741.8777859,-0.436457407,8.993597421,0.383618639,0,0,0
 01/06  17:00:00,11.85,17.92434717,44.91182966,740.2320597,-0.404513174,8.411352714,0.383618639,0,0,0
 01/06  18:00:00,11.1375,17.22778565,45.79487793,642.6925964,-0.464307157,9.523377594,0.383618639,0,0,0
 01/06  19:00:00,9.9875,16.3928023,46.20975126,529.7145579,-0.561884672,11.63457584,0.383618639,0,0,0
 01/06  20:00:00,8.5625,15.62894604,46.25376757,451.6550614,-1.619072114,57.38063302,0.383618639,0,0,0
 01/06  21:00:00,7.1875,15.12770515,46.05690612,421.8150416,-1.685151681,60.95391662,0.383618639,0,0,0
