日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时),,,
 01/06  13:00:00,6.9375,22.00054971,31.43426435,679.4840874,-0.834779067,19.70172617,0.038361864,0,2.403672047,,,
 01/06  14:00:00,9.05,22.00054665,32.55395006,666.6011555,-0.82043017,19.19773286,0.038361864,0,1.884942733,,,
 01/06  15:00:00,10.8,22.00066,33.94659652,675.3051241,-0.793873997,18.28658862,0.038361864,0,1.492013836,,,
 01/06  16:00:00,11.8375,22.00088058,36.12289874,732.0205897,-0.770313261,17.50311694,0.038361864,0,1.09471312,,,
 01/06  17:00:00,11.85,22.00106919,36.95529281,734.3440853,-0.756026528,17.03855039,0.038361864,0,1.180720967,,,
 01/06  18:00:00,11.1375,22.0008573,35.6919452,645.9480113,-0.764171302,17.30225005,0.038361864,0,1.528751881,,,
 01/06  19:00:00,9.9875,22.00054363,33.64065829,538.7059144,-0.784029973,17.95588227,0.038361864,0,1.891458562,,,
 01/06  20:00:00,8.5625,22.00031252,31.61178563,461.8196642,-0.797260568,18.40033739,0.038361864,0,2.214402056,,,
 01/06  21:00:00,7.1875,22.00017175,30.19941948,427.5434059,-0.804241979,18.63784287,0.038361864,0,2.460791231,,,
 01/06  22:00:00,6.075,22.00012898,29.20715413,416.2881073,0.15273139,5.483391411,0.038361864,0,2.673291312,,,
 01/06  23:00:00,5.2,21.95153509,28.45598409,412.6072131,0.15036884,5.46852808,0.038361864,0,2.850155072,,,
 01/06  24:00:00,4.4625,16.33610011,39.7377856,411.4928376,-0.228441481,7.486310601,0,0,0,,,
 01/07  01:00:00,3.8875,14.44467302,43.44540613,411.0432893,-0.602977616,12.62933857,0,0,0,,,
 01/07  02:00:00,3.3875,14.18203164,43.49031931,410.9054849,-0.648042119,13.82121243,0,0,0,,,
 01/07  03:00:00,2.825,13.93757107,43.518462,410.856686,-0.686109897,14.89872342,0,0,0,,,
 01/07  04:00:00,2.1625,13.68067828,43.36147619,410.8394205,-0.725046778,16.06612204,0,0,0,,,
 01/07  05:00:00,1.4,13.40220143,43.07818216,410.8333197,-0.76700618,17.39721316,0,0,0,,,
 01/07  06:00:00,0.6625,13.12593514,42.81294512,410.8311676,-0.810033134,18.83936069,0,0,0,,,
