日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时)
 12/05  18:00:00,6.35,18.00020348,24.36367959,543.8842328,-1.469114808,49.2255987,5.415881507,0,13.09862461
 12/05  19:00:00,5.3375,17.9997416,25.84175553,472.055783,-1.465194937,49.01359956,5.415881507,0,17.14807597
 12/05  20:00:00,4.75,17.9994176,27.74634145,428.4268188,-1.456897253,48.56531842,5.415881507,0,20.21533626
 12/05  21:00:00,4.6625,17.99925998,30.02096543,414.7416792,-1.445713289,47.96215751,5.415881507,0,20.8681547
 12/05  22:00:00,4.8875,17.99941238,32.15880529,412.2934379,-0.465031361,9.514902022,5.415881507,0,20.73592441
 12/05  23:00:00,5.1875,17.99969652,33.38907646,411.855486,-0.457003098,9.359158241,5.415881507,0,17.73031986
 12/05  24:00:00,5.425,14.71529776,41.47864957,411.7865592,-0.693579608,15.71146905,0,0,0
 12/06  01:00:00,5.625,13.79016245,42.97053373,411.7687184,-0.910014313,22.48874274,0,0,0
 12/06  02:00:00,5.7625,13.74209483,41.41805496,411.7631152,-0.928739653,23.21784684,0,0,0
 12/06  03:00:00,5.675,13.66469033,39.5530562,411.7611134,-0.948896167,24.01893365,0,0,0
 12/06  04:00:00,5.35,13.53222536,38.04450869,411.7603978,-0.974245428,25.04913741,0,0,0
 12/06  05:00:00,4.8875,13.36177056,36.98216563,411.760142,-1.003638293,26.2744342,0,0,0
 12/06  06:00:00,4.3875,13.18139036,36.54060197,411.7600506,-1.032499665,27.50898872,0,0,0
 12/06  07:00:00,4.0125,13.02446141,36.59935253,411.760018,-1.058400553,28.64294001,0,0,0
 12/06  08:00:00,3.775,17.55739967,27.32205859,411.7600046,-1.685087615,60.5209458,5.415881507,0,27.17091648
 12/06  09:00:00,3.95,18.000043,26.31320467,411.7600007,-1.501444002,50.97858774,5.415881507,0,23.01233191
 12/06  10:00:00,4.5375,18.00063977,28.87598725,574.2083505,-1.482936532,49.97434799,5.415881507,0,11.97111343
 12/06  11:00:00,5.3,18.00164907,29.24875123,617.7242964,-1.469743925,49.25962849,5.415881507,0,12.23417916
 12/06  12:00:00,6.1625,18.00204061,27.77069467,616.2163474,-1.46603163,49.05883575,5.415881507,0,10.19372723
 12/06  13:00:00,7.125,18.00211931,25.05162643,576.630749,-1.467041482,49.11344799,5.415881507,0,10.58085302
 12/06  14:00:00,8.25,17.85222392,23.12126938,572.4736628,-1.480359098,49.83500933,5.415881507,0,5.951857397
 12/06  15:00:00,9.575,17.72369343,21.8455268,581.0267255,-1.502637277,51.04341867,5.415881507,0,3.264288777
 12/06  16:00:00,10.725,17.7503006,22.74900244,626.5763613,-1.51712231,51.83185762,5.415881507,0,0
 12/06  17:00:00,10.85,17.69836766,24.56866557,617.8614625,-1.48327438,49.99256476,5.415881507,0,0
 12/06  18:00:00,10.1375,17.76501296,25.35258218,547.5990764,-1.489665091,50.33909592,5.415881507,0,5.173665942
 12/06  19:00:00,8.9875,17.9983109,26.01937113,472.3559899,-1.471715468,49.36683831,5.415881507,0,11.78366828
 12/06  20:00:00,7.6875,17.99967918,27.09033613,428.3293901,-1.460251342,48.74642863,5.415881507,0,14.27758333
