Date/Time,环境: 现场室外空气干球温度 [C](Hourly),热区: 空间102: 区域平均气温 [C](Hourly),热区: 空间102: 区域空气相对湿度[%](Hourly),热区: 空间102: 区域空气二氧化碳浓度 [ppm](Hourly),区域热舒适吸管模型 pmv [](Hourly),区域热舒适吸血鬼模型 ppd [%](Hourly),电源风扇: 风扇电能 [KWH](Hourly),热区: 空间102 vrf 供应风扇: 风扇电能 [KWH](Hourly),Vrf 热泵: vrf 热泵冷却电能 [KWH](Hourly),Vrf 热泵: vrf 热泵加热电能[KWH](Hourly),热回收: 热交换器电能 [KWH](Hourly) 
 01/05  09:00:00,0.35,12.37213823,38.07598969,410.8300375,-1.142531133,32.49224096,0.09590466,0,0,0,0
 01/05  10:00:00,2.85,14.72290446,37.07926374,619.1941095,-0.941139751,23.95382677,0.09590466,0,0,0,0
 01/05  11:00:00,5.4,15.83480668,39.69527339,753.0201356,-0.732679542,16.30965069,0.09590466,0,0,0,0
 01/05  12:00:00,7.675,16.59462693,40.32479384,769.7721986,-0.642519267,13.68093184,0.09590466,0,0,0,0
 01/05  13:00:00,9.5625,16.80284424,39.88542117,719.3662691,-0.596779909,12.467542,0.09590466,0,0,0,0
 01/05  14:00:00,11.075,17.37290027,37.79741001,704.4726825,-0.549603746,11.33140991,0.09590466,0,0,0,0
 01/05  15:00:00,12.1625,17.78879997,36.50182741,714.3632464,-0.494809131,10.1213342,0.09590466,0,0,0,0
 01/05  16:00:00,12.75,18.49966535,36.42268543,778.5130163,-0.40597121,8.456412681,0.09590466,0,0,0,0
 01/05  17:00:00,12.5875,18.28741162,38.96087915,780.8243475,-0.392041762,8.206143792,0.09590466,0,0,0,0
 01/05  18:00:00,11.65,17.52707941,41.58675802,679.052798,-0.453250963,9.306000101,0.09590466,0,0,0,0
 01/05  19:00:00,10.2,16.67325773,43.94864345,554.8794096,-0.538057689,11.07778039,0.09590466,0,0,0,0
 01/05  20:00:00,8.475,15.81521787,46.24886153,465.1811201,-1.59003451,55.80183031,0.09590466,0,0,0,0
 01/05  21:00:00,6.7375,15.14511974,47.72851867,427.6846139,-1.666308216,59.93876154,0.09590466,0,0,0,0
 01/05  22:00:00,5.2875,14.60361318,48.25348318,416.0382338,-1.7303183,63.36595143,0.09590466,0,0,0,0
 01/05  23:00:00,4.175,14.20644063,47.99615352,412.4348843,-1.781701325,66.06920701,0.09590466,0,0,0,0
 01/05  24:00:00,3.3,12.4337998,52.03929917,411.3951557,-1.932095775,73.48382105,0,0,0,0,0
 01/06  01:00:00,2.6875,11.87204741,51.76974178,411.0200467,-1.087028173,29.92559466,0,0,0,0,0
 01/06  02:00:00,2.1875,11.68072959,50.51587375,410.8975639,-1.12005138,31.4386075,0,0,0,0,0
 01/06  03:00:00,1.6875,11.49520145,49.46128196,410.8539916,-1.151088673,32.89392119,0,0,0,0,0
 01/06  04:00:00,1.1875,11.31242425,48.65325102,410.8385092,-1.180792615,34.31515921,0,0,0,0,0
 01/06  05:00:00,0.625,11.11694034,48.02543814,410.8330142,-1.210742031,35.77517074,0,0,0,0,0
 01/06  06:00:00,0.15,10.93492184,47.5004154,410.8310663,-1.240759695,37.26340556,0,0,0,0,0
 01/06  07:00:00,-0.25,10.77614005,46.98270922,410.8303768,-1.266731315,38.57047967,0,0,0,0,0
 01/06  08:00:00,-0.4625,12.03278422,42.35787065,410.8301313,-1.185331477,34.59149494,0.09590466,0,0,0,0
 01/06  09:00:00,-0.1875,12.36827476,40.96741045,410.8300375,-1.114867131,31.19751933,0.09590466,0,0,0,0
 01/06  10:00:00,0.8125,14.25968299,39.11032341,623.4292278,-0.964473928,24.81878212,0.09590466,0,0,0,0
 01/06  11:00:00,2.55,14.91291622,40.87232569,751.5226991,-0.820289235,19.19424138,0.09590466,0,0,0,0
 01/06  12:00:00,4.675,15.64002773,41.29770102,767.7858539,-0.745628409,16.72264672,0.09590466,0,0,0,0
 01/06  13:00:00,6.9375,15.98473171,42.05078824,717.4387136,-0.684860094,14.86191705,0.09590466,0,0,0,0
 01/06  14:00:00,9.05,16.78936125,42.02233015,702.9677836,-0.605367635,12.7058479,0.09590466,0,0,0,0
 01/06  15:00:00,10.8,17.46932475,42.48223519,713.1756309,-0.505699407,10.35943878,0.09590466,0,0,0,0
 01/06  16:00:00,11.8375,18.23660232,43.2887586,777.5674757,-0.407269136,8.477796198,0.09590466,0,0,0,0
 01/06  17:00:00,11.85,18.1544316,44.90592054,779.9244369,-0.373243618,7.901841494,0.09590466,0,0,0,0
 01/06  18:00:00,11.1375,17.45339824,45.74542804,678.2804605,-0.43291507,8.931966756,0.09590466,0,0,0,0
 01/06  19:00:00,9.9875,16.60937765,45.99321835,554.4422373,-0.532437679,10.95524831,0.09590466,0,0,0,0
 01/06  20:00:00,8.5625,15.82279736,45.92353168,465.008926,-1.591339369,55.8728613,0.09590466,0,0,0,0
 01/06  21:00:00,7.1875,15.29244478,45.70016719,427.6336345,-1.661152863,59.66121586,0.09590466,0,0,0,0
 01/06  22:00:00,6.075,14.87342494,45.52887909,416.028268,-1.712287162,62.40721248,0.09590466,0,0,0,0
 01/06  23:00:00,5.2,14.55011726,45.20432612,412.4348038,-1.753746495,64.60579497,0.09590466,0,0,0,0
 01/06  24:00:00,4.4625,12.773907,49.61185041,411.3965704,-1.89876163,71.88222567,0,0,0,0,0
 01/07  01:00:00,3.8875,12.211909,50.25016153,411.0212022,-1.050828965,28.30958522,0,0,0,0,0
 01/07  02:00:00,3.3875,12.02595424,50.07300036,410.8982051,-1.079354404,29.57839097,0,0,0,0,0
 01/07  03:00:00,2.825,11.83498886,49.94594597,410.8542986,-1.106282547,30.80282942,0,0,0,0,0
